generation,avg_best_fitness,avg_population_fitness
0,0.58457574,0.71094202
1,0.58238501,0.69124665
2,0.55777210,0.67545929
3,0.53014490,0.65407504
4,0.51643165,0.62203065
5,0.50445971,0.59142490
6,0.47305724,0.56286880
7,0.45810962,0.53518999
8,0.44528182,0.51200948
9,0.42200519,0.49003689
10,0.40358201,0.47007892
11,0.39010677,0.45033298
12,0.36906549,0.43144431
13,0.35110790,0.41334746
14,0.34063508,0.39490484
15,0.33035625,0.37926607
16,0.31918934,0.36464076
17,0.30943791,0.35148527
18,0.29721756,0.33849923
19,0.28970907,0.32584912
20,0.28335812,0.31409174
21,0.28032583,0.30377218
22,0.27956246,0.29524447
23,0.27385194,0.28870523
24,0.27240685,0.28440181
25,0.27188187,0.28106445
26,0.27076246,0.27753188
27,0.27076246,0.27430934
28,0.27076246,0.27244002
29,0.27076246,0.27174848
30,0.27076246,0.27138587
31,0.27076246,0.27094548
32,0.27076246,0.27077137
33,0.27076246,0.27076246
34,0.27076246,0.27076246
35,0.27076246,0.27076246
36,0.27076246,0.27076246
37,0.27076246,0.27076246
38,0.27076246,0.27076246
39,0.27076246,0.27076246
40,0.27076246,0.27076246
41,0.27076246,0.27076246
42,0.27076246,0.27076246
43,0.27076246,0.27076246
44,0.27076246,0.27076246
45,0.27076246,0.27076246
46,0.27076246,0.27076246
47,0.27076246,0.27076246
48,0.27076246,0.27076246
49,0.27076246,0.27076246
50,0.27076246,0.27076246
51,0.27076246,0.27076246
52,0.27076246,0.27076246
53,0.27076246,0.27076246
54,0.27076246,0.27076246
55,0.27076246,0.27076246
56,0.27076246,0.27076246
57,0.27076246,0.27076246
58,0.27076246,0.27076246
59,0.27076246,0.27076246
60,0.27076246,0.27076246
61,0.27076246,0.27076246
62,0.27076246,0.27076246
63,0.27076246,0.27076246
64,0.27076246,0.27076246
65,0.27076246,0.27076246
66,0.27076246,0.27076246
67,0.27076246,0.27076246
68,0.27076246,0.27076246
69,0.27076246,0.27076246
70,0.27076246,0.27076246
71,0.27076246,0.27076246
72,0.27076246,0.27076246
73,0.27076246,0.27076246
74,0.27076246,0.27076246
75,0.27076246,0.27076246
76,0.27076246,0.27076246
77,0.27076246,0.27076246
78,0.27076246,0.27076246
79,0.27076246,0.27076246
80,0.27076246,0.27076246
81,0.27076246,0.27076246
82,0.27076246,0.27076246
83,0.27076246,0.27076246
84,0.27076246,0.27076246
85,0.27076246,0.27076246
86,0.27076246,0.27076246
87,0.27076246,0.27076246
88,0.27076246,0.27076246
89,0.27076246,0.27076246
90,0.27076246,0.27076246
91,0.27076246,0.27076246
92,0.27076246,0.27076246
93,0.27076246,0.27076246
94,0.27076246,0.27076246
95,0.27076246,0.27076246
96,0.27076246,0.27076246
97,0.27076246,0.27076246
98,0.27076246,0.27076246
99,0.27076246,0.27076246
100,0.27076246,0.27076246
101,0.27076246,0.27076246
102,0.27076246,0.27076246
103,0.27076246,0.27076246
104,0.27076246,0.27076246
105,0.27076246,0.27076246
106,0.27076246,0.27076246
107,0.27076246,0.27076246
108,0.27076246,0.27076246
109,0.27076246,0.27076246
110,0.27076246,0.27076246
111,0.27076246,0.27076246
112,0.27076246,0.27076246
113,0.27076246,0.27076246
114,0.27076246,0.27076246
115,0.27076246,0.27076246
116,0.27076246,0.27076246
117,0.27076246,0.27076246
118,0.27076246,0.27076246
119,0.27076246,0.27076246
120,0.27076246,0.27076246
121,0.27076246,0.27076246
122,0.27076246,0.27076246
123,0.27076246,0.27076246
124,0.27076246,0.27076246
125,0.27076246,0.27076246
126,0.27076246,0.27076246
127,0.27076246,0.27076246
128,0.27076246,0.27076246
129,0.27076246,0.27076246
130,0.27076246,0.27076246
131,0.27076246,0.27076246
132,0.27076246,0.27076246
133,0.27076246,0.27076246
134,0.27076246,0.27076246
135,0.27076246,0.27076246
136,0.27076246,0.27076246
137,0.27076246,0.27076246
138,0.27076246,0.27076246
139,0.27076246,0.27076246
140,0.27076246,0.27076246
141,0.27076246,0.27076246
142,0.27076246,0.27076246
143,0.27076246,0.27076246
144,0.27076246,0.27076246
145,0.27076246,0.27076246
146,0.27076246,0.27076246
147,0.27076246,0.27076246
148,0.27076246,0.27076246
149,0.27076246,0.27076246
150,0.27076246,0.27076246
151,0.27076246,0.27076246
152,0.27076246,0.27076246
153,0.27076246,0.27076246
154,0.27076246,0.27076246
155,0.27076246,0.27076246
156,0.27076246,0.27076246
157,0.27076246,0.27076246
158,0.27076246,0.27076246
159,0.27076246,0.27076246
160,0.27076246,0.27076246
161,0.27076246,0.27076246
162,0.27076246,0.27076246
163,0.27076246,0.27076246
164,0.27076246,0.27076246
165,0.27076246,0.27076246
166,0.27076246,0.27076246
167,0.27076246,0.27076246
168,0.27076246,0.27076246
169,0.27076246,0.27076246
170,0.27076246,0.27076246
171,0.27076246,0.27076246
172,0.27076246,0.27076246
173,0.27076246,0.27076246
174,0.27076246,0.27076246
175,0.27076246,0.27076246
176,0.27076246,0.27076246
177,0.27076246,0.27076246
178,0.27076246,0.27076246
179,0.27076246,0.27076246
180,0.27076246,0.27076246
181,0.27076246,0.27076246
182,0.27076246,0.27076246
183,0.27076246,0.27076246
184,0.27076246,0.27076246
185,0.27076246,0.27076246
186,0.27076246,0.27076246
187,0.27076246,0.27076246
188,0.27076246,0.27076246
189,0.27076246,0.27076246
190,0.27076246,0.27076246
191,0.27076246,0.27076246
192,0.27076246,0.27076246
193,0.27076246,0.27076246
194,0.27076246,0.27076246
195,0.27076246,0.27076246
196,0.27076246,0.27076246
197,0.27076246,0.27076246
198,0.27076246,0.27076246
199,0.27076246,0.27076246
200,0.27076246,0.27076246
201,0.27076246,0.27076246
202,0.27076246,0.27076246
203,0.27076246,0.27076246
204,0.27076246,0.27076246
205,0.27076246,0.27076246
206,0.27076246,0.27076246
207,0.27076246,0.27076246
208,0.27076246,0.27076246
209,0.27076246,0.27076246
210,0.27076246,0.27076246
211,0.27076246,0.27076246
212,0.27076246,0.27076246
213,0.27076246,0.27076246
214,0.27076246,0.27076246
215,0.27076246,0.27076246
216,0.27076246,0.27076246
217,0.27076246,0.27076246
218,0.27076246,0.27076246
219,0.27076246,0.27076246
220,0.27076246,0.27076246
