generation,avg_best_fitness,avg_population_fitness
0,0.62270212,0.71224910
1,0.60654356,0.69727722
2,0.58447341,0.68704054
3,0.54529773,0.67362490
4,0.53153419,0.65612469
5,0.51735497,0.63627082
6,0.48598774,0.61856748
7,0.46260626,0.59995763
8,0.45051957,0.57963454
9,0.42919240,0.56521080
10,0.40784745,0.55006020
11,0.39242024,0.53829626
12,0.39242024,0.52838150
13,0.37496525,0.51868341
14,0.36861055,0.51048817
15,0.35595866,0.49329952
16,0.34689295,0.48724514
17,0.33949617,0.48011594
18,0.32581413,0.47497504
19,0.31437585,0.46393061
20,0.30441403,0.45816572
21,0.29424599,0.44963460
22,0.27918613,0.44659036
23,0.27088358,0.44160961
24,0.26927716,0.43898572
25,0.25523738,0.42321175
26,0.24391550,0.42405494
27,0.23374147,0.41826134
28,0.23374147,0.41305630
29,0.23146570,0.40731893
30,0.23105852,0.40137602
31,0.23036835,0.40180859
32,0.23018747,0.40204666
33,0.22682838,0.38835014
34,0.22682838,0.38328495
35,0.22682838,0.38328699
36,0.21961584,0.38298012
37,0.21961584,0.38307758
38,0.21801081,0.37781396
39,0.21527930,0.38291586
40,0.21123994,0.38623597
41,0.21024674,0.38370598
42,0.20434329,0.37877496
43,0.20434329,0.37921811
44,0.19872514,0.37525387
45,0.19872514,0.37683219
46,0.19546726,0.37473342
47,0.19546726,0.36598700
48,0.19546726,0.35921701
49,0.19071389,0.36118447
50,0.17909515,0.35959741
51,0.17615347,0.36147014
52,0.17418142,0.35503258
53,0.17154271,0.34996816
54,0.17154271,0.35346253
55,0.16902811,0.35093613
56,0.16902811,0.35470957
57,0.16902811,0.36200705
58,0.16902811,0.36182599
59,0.16902811,0.35875091
60,0.16328953,0.35299442
61,0.16243716,0.35876801
62,0.15924268,0.35400777
63,0.15896171,0.34907652
64,0.15743834,0.34955862
65,0.15591175,0.34565733
66,0.15591175,0.34593924
67,0.15487845,0.34152203
68,0.15429606,0.34000567
69,0.14988830,0.34472454
70,0.14988830,0.34250653
71,0.14988830,0.34296583
72,0.14988830,0.34200562
73,0.14988830,0.34709739
74,0.14988830,0.34274966
75,0.14988830,0.34425734
76,0.14988830,0.33781149
77,0.14988830,0.34463255
78,0.14988830,0.34276678
79,0.14988830,0.33819239
80,0.14988830,0.33155932
81,0.14988830,0.34995462
82,0.14988830,0.34177610
83,0.14988830,0.34553463
84,0.14537258,0.34899071
85,0.14537258,0.34792653
86,0.14537258,0.34685439
87,0.14537258,0.35042018
88,0.14537258,0.34899837
89,0.14537258,0.34271695
90,0.14537258,0.34883668
91,0.14537258,0.34290423
92,0.14537258,0.34716492
93,0.14537258,0.33880643
94,0.14537258,0.33909384
95,0.14537258,0.33967254
96,0.14537258,0.34150540
97,0.14537258,0.33800957
98,0.14537258,0.34168455
99,0.14537258,0.34139745
100,0.14537258,0.34152929
101,0.14537258,0.33760961
102,0.14537258,0.33970786
103,0.14533676,0.33944539
104,0.14533676,0.33943175
105,0.14533676,0.33479738
106,0.14533676,0.33526825
107,0.14533676,0.33068154
108,0.14533676,0.33371038
109,0.14533676,0.33163057
110,0.14533676,0.33272147
111,0.14252552,0.32801569
112,0.14220027,0.33195517
113,0.14220027,0.33185099
114,0.14220027,0.32548662
115,0.14220027,0.33719582
116,0.14032610,0.32338654
117,0.14032610,0.33127463
118,0.14032610,0.32761824
119,0.14032610,0.33406625
120,0.13954019,0.33324135
121,0.13954019,0.33484917
122,0.13728257,0.33738329
123,0.13728257,0.33344247
124,0.13728257,0.33701181
125,0.13728257,0.33257051
126,0.13728257,0.33125352
127,0.13728257,0.33931340
128,0.13533049,0.33397523
129,0.13533049,0.33201465
130,0.13533049,0.33417508
131,0.13533049,0.33535312
132,0.13533049,0.33597667
133,0.13533049,0.33013250
134,0.13533049,0.33026840
135,0.13468011,0.33947734
136,0.13345542,0.32437805
137,0.13345542,0.32912363
138,0.13345542,0.32502235
139,0.13345542,0.32502795
140,0.13345542,0.32992717
141,0.13218694,0.32943811
142,0.13218694,0.33216165
143,0.13218694,0.33410061
144,0.13218694,0.33046463
145,0.13218694,0.33075678
146,0.13218694,0.32815317
147,0.13218694,0.32779966
148,0.13218694,0.33539644
149,0.13218694,0.33675129
150,0.13192669,0.33380790
151,0.13192669,0.33023386
152,0.13192669,0.33135443
153,0.13126972,0.32959357
154,0.13126972,0.32694491
155,0.12971598,0.32446827
156,0.12971598,0.32265771
157,0.12971598,0.33109260
158,0.12971598,0.32576284
159,0.12971598,0.31960072
160,0.12904664,0.32475374
161,0.12904664,0.32487428
162,0.12904664,0.32751065
163,0.12499223,0.33429397
164,0.12275062,0.32088849
165,0.12275062,0.32215674
166,0.12275062,0.32677611
167,0.12275062,0.33208113
168,0.12275062,0.32937313
169,0.12275062,0.33061463
170,0.12275062,0.32505429
171,0.12275062,0.32755878
172,0.12275062,0.32030896
173,0.12275062,0.32109852
174,0.12275062,0.32086408
175,0.12275062,0.33049015
176,0.12275062,0.32826206
177,0.12275062,0.33153402
178,0.12275062,0.32401662
179,0.12275062,0.32319990
180,0.12275062,0.32910912
181,0.12275062,0.32626734
182,0.12275062,0.32459573
183,0.12275062,0.32015786
184,0.12117022,0.31815171
185,0.12117022,0.32503117
186,0.11898120,0.32444554
187,0.11898120,0.32462887
188,0.11898120,0.32124792
189,0.11898120,0.32090367
190,0.11898120,0.32494248
191,0.11898120,0.31649715
192,0.11898120,0.32283803
193,0.11898120,0.32056687
194,0.11898120,0.32398860
195,0.11898120,0.31450893
196,0.11898120,0.31988373
197,0.11898120,0.31277115
198,0.11898120,0.32038842
199,0.11898120,0.32582896
200,0.11898120,0.32163553
201,0.11898120,0.32815586
202,0.11847598,0.31231931
203,0.11847598,0.31516437
204,0.11847598,0.31268762
205,0.11847598,0.31706395
206,0.11812091,0.31966970
207,0.11812091,0.31622862
208,0.11812091,0.31374042
209,0.11812091,0.31283205
210,0.11812091,0.31652222
211,0.11755887,0.31313267
212,0.11755887,0.31231780
213,0.11755887,0.32100579
214,0.11755887,0.33056937
215,0.11755887,0.32667968
216,0.11755887,0.32470799
217,0.11755887,0.32938374
218,0.11612337,0.32278788
219,0.11612337,0.33232798
220,0.11612337,0.33232029
221,0.11612337,0.31828696
222,0.11612337,0.32682860
223,0.11612337,0.32679411
224,0.11612337,0.32086082
225,0.11612337,0.32596766
226,0.11612337,0.31828499
227,0.11612337,0.32052028
228,0.11612337,0.32492450
229,0.11612337,0.33574261
230,0.11612337,0.32869578
231,0.11612337,0.32460218
232,0.11612337,0.32811615
233,0.11612337,0.32720119
234,0.11507813,0.32686779
235,0.11507813,0.31996026
236,0.11507813,0.32152422
237,0.11507813,0.31754415
238,0.11507813,0.32393859
239,0.11507813,0.32235543
240,0.11507813,0.30850982
241,0.11507813,0.31916993
242,0.11507813,0.32218748
243,0.11507813,0.31525859
244,0.11507813,0.32060592
245,0.11507813,0.31898924
246,0.11507813,0.32023867
247,0.11158249,0.32353537
248,0.11158249,0.32243082
249,0.11158249,0.31908875
250,0.11158249,0.31849179
251,0.11158249,0.30997398
252,0.11158249,0.30556822
253,0.11158249,0.32114634
254,0.11158249,0.31252064
255,0.11158249,0.30642029
256,0.11158249,0.31365722
257,0.11158249,0.31742356
258,0.11158249,0.30928549
259,0.11158249,0.31211469
260,0.11158249,0.31837528
261,0.11158249,0.31608508
262,0.11158249,0.31250564
263,0.11158249,0.31608464
264,0.11158249,0.32458941
265,0.11158249,0.31854231
266,0.11158249,0.32368895
267,0.11158249,0.31935850
268,0.11158249,0.31696297
269,0.11158249,0.32512743
270,0.11158249,0.31619532
271,0.11158249,0.31923797
272,0.11158249,0.31730253
273,0.11158249,0.31562333
274,0.11158249,0.31415856
275,0.11158249,0.31110347
276,0.11158249,0.31102232
277,0.11158249,0.31347815
278,0.11158249,0.31222112
279,0.11158249,0.32030764
280,0.11158249,0.32367869
281,0.11158249,0.31874423
282,0.11129638,0.31269721
283,0.11129638,0.31358152
284,0.11129638,0.31428671
285,0.11129638,0.31635187
286,0.11129638,0.31478299
287,0.11129638,0.31479180
288,0.11059925,0.31828391
