generation,avg_best_fitness,avg_population_fitness
0,0.62460375,0.71096250
1,0.60058635,0.69117465
2,0.57951561,0.67835738
3,0.54938362,0.66062151
4,0.53371063,0.63487029
5,0.51800835,0.60550830
6,0.49710688,0.57782316
7,0.47468943,0.55382079
8,0.45570833,0.53223865
9,0.43680348,0.51026839
10,0.42058179,0.48967988
11,0.41059406,0.46898991
12,0.38864257,0.44880892
13,0.36970902,0.43004790
14,0.36391261,0.41344963
15,0.34993580,0.39923495
16,0.34654971,0.38512777
17,0.33753649,0.37143735
18,0.33500348,0.36007115
19,0.32672637,0.35126562
20,0.32297478,0.34419662
21,0.31986870,0.33699931
22,0.31570056,0.33027646
23,0.31376391,0.32571585
24,0.31376391,0.32242591
25,0.31333280,0.31939378
26,0.31213617,0.31639471
27,0.31210741,0.31439994
28,0.31179089,0.31340734
29,0.31179089,0.31283422
30,0.31179089,0.31236731
31,0.31179089,0.31202627
32,0.31179089,0.31190411
33,0.31179089,0.31180641
34,0.31179089,0.31179089
35,0.31179089,0.31179089
36,0.31179089,0.31179089
37,0.31179089,0.31179089
38,0.31179089,0.31179089
39,0.31179089,0.31179089
40,0.31179089,0.31179089
41,0.31179089,0.31179089
42,0.31179089,0.31179089
43,0.31179089,0.31179089
44,0.31179089,0.31179089
45,0.31179089,0.31179089
46,0.31179089,0.31179089
47,0.31179089,0.31179089
48,0.31179089,0.31179089
49,0.31179089,0.31179089
50,0.31179089,0.31179089
51,0.31179089,0.31179089
52,0.31179089,0.31179089
53,0.31179089,0.31179089
54,0.31179089,0.31179089
55,0.31179089,0.31179089
56,0.31179089,0.31179089
57,0.31179089,0.31179089
58,0.31179089,0.31179089
59,0.31179089,0.31179089
60,0.31179089,0.31179089
61,0.31179089,0.31179089
62,0.31179089,0.31179089
63,0.31179089,0.31179089
64,0.31179089,0.31179089
65,0.31179089,0.31179089
66,0.31179089,0.31179089
67,0.31179089,0.31179089
68,0.31179089,0.31179089
69,0.31179089,0.31179089
70,0.31179089,0.31179089
71,0.31179089,0.31179089
72,0.31179089,0.31179089
73,0.31179089,0.31179089
74,0.31179089,0.31179089
75,0.31179089,0.31179089
76,0.31179089,0.31179089
77,0.31179089,0.31179089
78,0.31179089,0.31179089
79,0.31179089,0.31179089
80,0.31179089,0.31179089
81,0.31179089,0.31179089
82,0.31179089,0.31179089
83,0.31179089,0.31179089
84,0.31179089,0.31179089
85,0.31179089,0.31179089
86,0.31179089,0.31179089
87,0.31179089,0.31179089
88,0.31179089,0.31179089
89,0.31179089,0.31179089
90,0.31179089,0.31179089
91,0.31179089,0.31179089
92,0.31179089,0.31179089
93,0.31179089,0.31179089
94,0.31179089,0.31179089
95,0.31179089,0.31179089
96,0.31179089,0.31179089
97,0.31179089,0.31179089
98,0.31179089,0.31179089
99,0.31179089,0.31179089
100,0.31179089,0.31179089
101,0.31179089,0.31179089
102,0.31179089,0.31179089
103,0.31179089,0.31179089
104,0.31179089,0.31179089
105,0.31179089,0.31179089
106,0.31179089,0.31179089
107,0.31179089,0.31179089
108,0.31179089,0.31179089
109,0.31179089,0.31179089
110,0.31179089,0.31179089
111,0.31179089,0.31179089
112,0.31179089,0.31179089
113,0.31179089,0.31179089
114,0.31179089,0.31179089
115,0.31179089,0.31179089
116,0.31179089,0.31179089
117,0.31179089,0.31179089
118,0.31179089,0.31179089
119,0.31179089,0.31179089
120,0.31179089,0.31179089
121,0.31179089,0.31179089
122,0.31179089,0.31179089
123,0.31179089,0.31179089
124,0.31179089,0.31179089
125,0.31179089,0.31179089
126,0.31179089,0.31179089
127,0.31179089,0.31179089
128,0.31179089,0.31179089
129,0.31179089,0.31179089
130,0.31179089,0.31179089
131,0.31179089,0.31179089
132,0.31179089,0.31179089
133,0.31179089,0.31179089
134,0.31179089,0.31179089
135,0.31179089,0.31179089
136,0.31179089,0.31179089
137,0.31179089,0.31179089
138,0.31179089,0.31179089
139,0.31179089,0.31179089
140,0.31179089,0.31179089
141,0.31179089,0.31179089
142,0.31179089,0.31179089
143,0.31179089,0.31179089
144,0.31179089,0.31179089
145,0.31179089,0.31179089
146,0.31179089,0.31179089
147,0.31179089,0.31179089
148,0.31179089,0.31179089
149,0.31179089,0.31179089
150,0.31179089,0.31179089
151,0.31179089,0.31179089
152,0.31179089,0.31179089
153,0.31179089,0.31179089
154,0.31179089,0.31179089
155,0.31179089,0.31179089
156,0.31179089,0.31179089
157,0.31179089,0.31179089
158,0.31179089,0.31179089
159,0.31179089,0.31179089
160,0.31179089,0.31179089
161,0.31179089,0.31179089
162,0.31179089,0.31179089
163,0.31179089,0.31179089
164,0.31179089,0.31179089
165,0.31179089,0.31179089
166,0.31179089,0.31179089
167,0.31179089,0.31179089
168,0.31179089,0.31179089
169,0.31179089,0.31179089
170,0.31179089,0.31179089
171,0.31179089,0.31179089
172,0.31179089,0.31179089
173,0.31179089,0.31179089
174,0.31179089,0.31179089
175,0.31179089,0.31179089
176,0.31179089,0.31179089
177,0.31179089,0.31179089
178,0.31179089,0.31179089
179,0.31179089,0.31179089
180,0.31179089,0.31179089
181,0.31179089,0.31179089
182,0.31179089,0.31179089
183,0.31179089,0.31179089
184,0.31179089,0.31179089
185,0.31179089,0.31179089
186,0.31179089,0.31179089
187,0.31179089,0.31179089
188,0.31179089,0.31179089
189,0.31179089,0.31179089
190,0.31179089,0.31179089
191,0.31179089,0.31179089
192,0.31179089,0.31179089
193,0.31179089,0.31179089
194,0.31179089,0.31179089
195,0.31179089,0.31179089
196,0.31179089,0.31179089
197,0.31179089,0.31179089
198,0.31179089,0.31179089
199,0.31179089,0.31179089
200,0.31179089,0.31179089
201,0.31179089,0.31179089
202,0.31179089,0.31179089
203,0.31179089,0.31179089
204,0.31179089,0.31179089
205,0.31179089,0.31179089
206,0.31179089,0.31179089
207,0.31179089,0.31179089
208,0.31179089,0.31179089
209,0.31179089,0.31179089
210,0.31179089,0.31179089
211,0.31179089,0.31179089
212,0.31179089,0.31179089
213,0.31179089,0.31179089
214,0.31179089,0.31179089
215,0.31179089,0.31179089
216,0.31179089,0.31179089
217,0.31179089,0.31179089
218,0.31179089,0.31179089
219,0.31179089,0.31179089
220,0.31179089,0.31179089
221,0.31179089,0.31179089
222,0.31179089,0.31179089
223,0.31179089,0.31179089
224,0.31179089,0.31179089
225,0.31179089,0.31179089
226,0.31179089,0.31179089
227,0.31179089,0.31179089
228,0.31179089,0.31179089
229,0.31179089,0.31179089
230,0.31179089,0.31179089
231,0.31179089,0.31179089
232,0.31179089,0.31179089
233,0.31179089,0.31179089
234,0.31179089,0.31179089
235,0.31179089,0.31179089
236,0.31179089,0.31179089
237,0.31179089,0.31179089
238,0.31179089,0.31179089
239,0.31179089,0.31179089
240,0.31179089,0.31179089
241,0.31179089,0.31179089
242,0.31179089,0.31179089
243,0.31179089,0.31179089
244,0.31179089,0.31179089
245,0.31179089,0.31179089
246,0.31179089,0.31179089
247,0.31179089,0.31179089
248,0.31179089,0.31179089
249,0.31179089,0.31179089
250,0.31179089,0.31179089
251,0.31179089,0.31179089
252,0.31179089,0.31179089
253,0.31179089,0.31179089
254,0.31179089,0.31179089
255,0.31179089,0.31179089
256,0.31179089,0.31179089
257,0.31179089,0.31179089
258,0.31179089,0.31179089
259,0.31179089,0.31179089
260,0.31179089,0.31179089
261,0.31179089,0.31179089
262,0.31179089,0.31179089
263,0.31179089,0.31179089
264,0.31179089,0.31179089
265,0.31179089,0.31179089
266,0.31179089,0.31179089
267,0.31179089,0.31179089
268,0.31179089,0.31179089
269,0.31179089,0.31179089
270,0.31179089,0.31179089
271,0.31179089,0.31179089
272,0.31179089,0.31179089
273,0.31179089,0.31179089
274,0.31179089,0.31179089
275,0.31179089,0.31179089
276,0.31179089,0.31179089
277,0.31179089,0.31179089
278,0.31179089,0.31179089
279,0.31179089,0.31179089
280,0.31179089,0.31179089
281,0.31179089,0.31179089
282,0.31179089,0.31179089
283,0.31179089,0.31179089
284,0.31179089,0.31179089
285,0.31179089,0.31179089
286,0.31179089,0.31179089
287,0.31179089,0.31179089
288,0.31179089,0.31179089
289,0.31179089,0.31179089
290,0.31179089,0.31179089
291,0.31179089,0.31179089
292,0.31179089,0.31179089
293,0.31179089,0.31179089
294,0.31179089,0.31179089
295,0.31179089,0.31179089
296,0.31179089,0.31179089
297,0.31179089,0.31179089
298,0.31179089,0.31179089
299,0.31179089,0.31179089
300,0.31179089,0.31179089
301,0.31179089,0.31179089
302,0.31179089,0.31179089
303,0.31179089,0.31179089
304,0.31179089,0.31179089
305,0.31179089,0.31179089
306,0.31179089,0.31179089
307,0.31179089,0.31179089
308,0.31179089,0.31179089
309,0.31179089,0.31179089
310,0.31179089,0.31179089
311,0.31179089,0.31179089
312,0.31179089,0.31179089
313,0.31179089,0.31179089
314,0.31179089,0.31179089
315,0.31179089,0.31179089
316,0.31179089,0.31179089
317,0.31179089,0.31179089
318,0.31179089,0.31179089
319,0.31179089,0.31179089
320,0.31179089,0.31179089
321,0.31179089,0.31179089
322,0.31179089,0.31179089
323,0.31179089,0.31179089
324,0.31179089,0.31179089
325,0.31179089,0.31179089
326,0.31179089,0.31179089
327,0.31179089,0.31179089
328,0.31179089,0.31179089
329,0.31179089,0.31179089
330,0.31179089,0.31179089
331,0.31179089,0.31179089
332,0.31179089,0.31179089
333,0.31179089,0.31179089
334,0.31179089,0.31179089
335,0.31179089,0.31179089
336,0.31179089,0.31179089
337,0.31179089,0.31179089
338,0.31179089,0.31179089
339,0.31179089,0.31179089
340,0.31179089,0.31179089
341,0.31179089,0.31179089
342,0.31179089,0.31179089
343,0.31179089,0.31179089
344,0.31179089,0.31179089
345,0.31179089,0.31179089
346,0.31179089,0.31179089
347,0.31179089,0.31179089
348,0.31179089,0.31179089
349,0.31179089,0.31179089
350,0.31179089,0.31179089
351,0.31179089,0.31179089
352,0.31179089,0.31179089
353,0.31179089,0.31179089
354,0.31179089,0.31179089
355,0.31179089,0.31179089
356,0.31179089,0.31179089
357,0.31179089,0.31179089
358,0.31179089,0.31179089
359,0.31179089,0.31179089
360,0.31179089,0.31179089
361,0.31179089,0.31179089
362,0.31179089,0.31179089
363,0.31179089,0.31179089
364,0.31179089,0.31179089
365,0.31179089,0.31179089
366,0.31179089,0.31179089
367,0.31179089,0.31179089
368,0.31179089,0.31179089
369,0.31179089,0.31179089
370,0.31179089,0.31179089
371,0.31179089,0.31179089
372,0.31179089,0.31179089
373,0.31179089,0.31179089
374,0.31179089,0.31179089
375,0.31179089,0.31179089
376,0.31179089,0.31179089
377,0.31179089,0.31179089
378,0.31179089,0.31179089
379,0.31179089,0.31179089
380,0.31179089,0.31179089
381,0.31179089,0.31179089
382,0.31179089,0.31179089
383,0.31179089,0.31179089
384,0.31179089,0.31179089
385,0.31179089,0.31179089
386,0.31179089,0.31179089
387,0.31179089,0.31179089
388,0.31179089,0.31179089
389,0.31179089,0.31179089
390,0.31179089,0.31179089
391,0.31179089,0.31179089
392,0.31179089,0.31179089
393,0.31179089,0.31179089
394,0.31179089,0.31179089
395,0.31179089,0.31179089
396,0.31179089,0.31179089
397,0.31179089,0.31179089
398,0.31179089,0.31179089
399,0.31179089,0.31179089
400,0.31179089,0.31179089
401,0.31179089,0.31179089
402,0.31179089,0.31179089
403,0.31179089,0.31179089
404,0.31179089,0.31179089
405,0.31179089,0.31179089
406,0.31179089,0.31179089
407,0.31179089,0.31179089
408,0.31179089,0.31179089
409,0.31179089,0.31179089
410,0.31179089,0.31179089
411,0.31179089,0.31179089
412,0.31179089,0.31179089
413,0.31179089,0.31179089
414,0.31179089,0.31179089
415,0.31179089,0.31179089
416,0.31179089,0.31179089
417,0.31179089,0.31179089
418,0.31179089,0.31179089
419,0.31179089,0.31179089
420,0.31179089,0.31179089
421,0.31179089,0.31179089
422,0.31179089,0.31179089
423,0.31179089,0.31179089
424,0.31179089,0.31179089
425,0.31179089,0.31179089
426,0.31179089,0.31179089
427,0.31179089,0.31179089
428,0.31179089,0.31179089
429,0.31179089,0.31179089
430,0.31179089,0.31179089
431,0.31179089,0.31179089
432,0.31179089,0.31179089
433,0.31179089,0.31179089
434,0.31179089,0.31179089
435,0.31179089,0.31179089
436,0.31179089,0.31179089
437,0.31179089,0.31179089
438,0.31179089,0.31179089
439,0.31179089,0.31179089
