generation,avg_best_fitness,avg_population_fitness
0,0.60489516,0.71358819
1,0.58587888,0.69382815
2,0.57414554,0.67942725
3,0.55476434,0.66424613
4,0.53086008,0.64437806
5,0.51644643,0.62910412
6,0.48851888,0.61258529
7,0.46501430,0.59290959
8,0.44949553,0.58280105
9,0.42971502,0.56418691
10,0.41374468,0.55343292
11,0.41317130,0.54103472
12,0.40045323,0.52634577
13,0.38978693,0.51874156
14,0.36975449,0.51031335
15,0.36004557,0.49983568
16,0.33991304,0.49103788
17,0.33225890,0.48460653
18,0.32540814,0.47585897
19,0.31742967,0.46646904
20,0.29778211,0.45726147
21,0.28893772,0.45256671
22,0.28526447,0.44319156
23,0.27363240,0.43345189
24,0.26546688,0.42650636
25,0.26305221,0.42215558
26,0.26305221,0.41763105
27,0.26305221,0.41495423
28,0.25060541,0.40858808
29,0.23541344,0.41218345
30,0.23541344,0.40852131
31,0.22970195,0.39813869
32,0.22073124,0.39819366
33,0.21781103,0.39470111
34,0.21474848,0.39422633
35,0.21232937,0.38848610
36,0.21228910,0.38875508
37,0.21050543,0.37891821
38,0.20936284,0.37803407
39,0.20763004,0.38188903
40,0.20269772,0.37169040
41,0.19393515,0.37286636
42,0.19393515,0.36993557
43,0.19393515,0.36964534
44,0.19125778,0.36796383
45,0.18934945,0.37044995
46,0.18687748,0.36193457
47,0.18602243,0.36490783
48,0.18329119,0.36302742
49,0.18329119,0.36460159
50,0.17790067,0.35676850
51,0.17728407,0.35199723
52,0.17728407,0.35266644
53,0.17728407,0.35246786
54,0.17177644,0.35769540
55,0.17177644,0.35926162
56,0.17177644,0.36082809
57,0.17155877,0.35818816
58,0.16815448,0.35911834
59,0.16815448,0.35728081
60,0.16632503,0.35979398
61,0.16283373,0.35232536
62,0.16245740,0.35952785
63,0.16245740,0.35393482
64,0.16245740,0.34962275
65,0.16245740,0.35318124
66,0.16222302,0.34579062
67,0.16222302,0.35155253
68,0.16222302,0.34252074
69,0.16064402,0.34675558
70,0.15925564,0.33981708
71,0.15321794,0.33706780
72,0.15321794,0.33965891
73,0.15321794,0.34624247
74,0.15321794,0.33876964
75,0.15321794,0.34363197
76,0.15277108,0.33712477
77,0.15277108,0.34620220
78,0.15277108,0.34397102
79,0.15277108,0.33688104
80,0.15277108,0.34039230
81,0.15277108,0.33999013
82,0.15277108,0.34462146
83,0.15277108,0.34578584
84,0.15150977,0.34432434
85,0.15057639,0.34502290
86,0.14813687,0.33830184
87,0.14813687,0.32981993
88,0.14649548,0.33453022
89,0.14649548,0.34081023
90,0.14649548,0.33696884
91,0.14649548,0.33630777
92,0.14649548,0.32812849
93,0.14522951,0.33858252
94,0.14522951,0.33365571
95,0.14522951,0.33767540
96,0.14522951,0.32813193
97,0.14522951,0.33280902
98,0.14522951,0.33838431
99,0.14522951,0.33567474
100,0.14522951,0.33067655
101,0.14522951,0.32955690
102,0.14522951,0.32574895
103,0.14332552,0.32822220
104,0.14332552,0.33070873
105,0.14278485,0.32643965
106,0.14170158,0.33120642
107,0.14170158,0.33039531
108,0.14170158,0.32850953
109,0.14170158,0.32573484
110,0.14170158,0.32582315
111,0.14170158,0.32533181
112,0.13856364,0.32480881
113,0.13856364,0.32499732
114,0.13795197,0.32549782
115,0.13715706,0.32493573
116,0.13715706,0.32962721
117,0.13715706,0.33025581
118,0.13715706,0.32179979
119,0.13615122,0.33132222
120,0.13615122,0.32899003
121,0.13521413,0.32718051
122,0.13521413,0.32742424
123,0.13521413,0.32609207
124,0.13517322,0.33294862
125,0.13517322,0.32218521
126,0.13517322,0.32341979
127,0.13517322,0.32233276
128,0.13467256,0.32361291
129,0.13467256,0.32073971
130,0.13467256,0.32611303
131,0.13378999,0.32225085
132,0.13378999,0.32634312
133,0.13182667,0.32656489
134,0.13081398,0.32623269
135,0.12648241,0.32899732
136,0.12347352,0.32553958
137,0.12347352,0.32248119
138,0.12339979,0.32505239
139,0.12339979,0.32877224
140,0.12339979,0.33281586
141,0.12339979,0.32635567
142,0.12279850,0.32097075
143,0.12279850,0.32372377
144,0.12279850,0.33027648
145,0.12275202,0.33079730
146,0.12093275,0.32691482
147,0.12058223,0.32733210
148,0.12058223,0.32252961
149,0.12058223,0.32832043
150,0.12058223,0.32252877
151,0.12058223,0.32484017
152,0.12058223,0.32982237
153,0.12058223,0.32704845
154,0.12058223,0.32580812
155,0.12058223,0.33266415
156,0.12058223,0.32070257
157,0.11879732,0.32363234
158,0.11879732,0.32264500
159,0.11879732,0.33331613
160,0.11879732,0.32352755
161,0.11879732,0.32047381
162,0.11879732,0.31250685
163,0.11879732,0.32110972
164,0.11879732,0.32269122
165,0.11879732,0.32132934
166,0.11879732,0.32103910
167,0.11879732,0.31772034
168,0.11879732,0.31881043
169,0.11879732,0.31993000
170,0.11870393,0.31678520
171,0.11870393,0.31249477
172,0.11870393,0.30827871
173,0.11870393,0.31092866
174,0.11870393,0.31365767
175,0.11830206,0.31732033
176,0.11830206,0.32098732
177,0.11830206,0.31897660
178,0.11830206,0.32530893
179,0.11830206,0.32594862
180,0.11830206,0.32653762
181,0.11830206,0.32699533
182,0.11830206,0.33071580
183,0.11830206,0.33027734
184,0.11830206,0.32615326
185,0.11781039,0.32470243
186,0.11781039,0.32668705
187,0.11781039,0.32781407
188,0.11781039,0.32401389
189,0.11781039,0.31750014
190,0.11781039,0.31261385
191,0.11402962,0.32343083
192,0.11402962,0.31983378
193,0.11402962,0.31904123
194,0.11402962,0.32377942
195,0.11402962,0.32126934
196,0.11360161,0.32500217
197,0.11360161,0.32413086
198,0.11360161,0.32433292
199,0.11360161,0.31952048
200,0.11360161,0.31896513
201,0.11360161,0.32248075
202,0.11360161,0.32682948
203,0.11360161,0.31658272
204,0.11360161,0.32180949
205,0.11360161,0.32147926
206,0.11360161,0.32319456
207,0.11357558,0.32713545
208,0.11357558,0.32813673
