generation,avg_best_fitness,avg_population_fitness
0,0.59762977,0.71483195
1,0.58431449,0.69424575
2,0.54826142,0.67533144
3,0.53681815,0.65218157
4,0.51820632,0.62269067
5,0.49998554,0.59254236
6,0.48239936,0.56392453
7,0.45310099,0.53659451
8,0.43474715,0.51534275
9,0.42224064,0.49761444
10,0.40471700,0.47765122
11,0.39104032,0.45972602
12,0.38039737,0.44317221
13,0.35982881,0.42516542
14,0.34808996,0.40863494
15,0.33067063,0.39457506
16,0.31615652,0.37861836
17,0.30579342,0.36536811
18,0.29371342,0.35091705
19,0.28085333,0.33780282
20,0.26753049,0.32474616
21,0.25312326,0.31138415
22,0.24729874,0.29771705
23,0.24352996,0.28647235
24,0.23508241,0.27697486
25,0.22764707,0.26807813
26,0.21940423,0.26026846
27,0.20593302,0.25120547
28,0.19775293,0.24382087
29,0.19215785,0.23421995
30,0.18366173,0.22520303
31,0.17678425,0.21617408
32,0.17153595,0.20993639
33,0.16620101,0.20427270
34,0.16232155,0.19673274
35,0.15459978,0.18816053
36,0.14594586,0.18390445
37,0.13805044,0.17919552
38,0.13389933,0.16911194
39,0.13078254,0.16360904
40,0.12635512,0.16077256
41,0.12355265,0.15669727
42,0.12000808,0.14676182
43,0.11775496,0.14136503
44,0.10918136,0.13976293
45,0.10896112,0.13539297
46,0.10640514,0.12907722
47,0.10509580,0.12530063
48,0.10342206,0.12096973
49,0.10342206,0.11887467
50,0.10260091,0.11736004
51,0.09771876,0.12017618
52,0.09605290,0.11448980
53,0.09596497,0.11563966
54,0.09449515,0.11256577
55,0.09449515,0.11233975
56,0.09449515,0.10924851
57,0.09264685,0.10847877
58,0.09264685,0.10579688
59,0.09264685,0.10561338
60,0.09264685,0.10466382
61,0.09259036,0.10833319
62,0.09259036,0.10375621
63,0.09252059,0.10234113
64,0.09142308,0.10408005
65,0.08941113,0.10447738
66,0.08927528,0.10529990
67,0.08927528,0.10172004
68,0.08927528,0.10063736
69,0.08927528,0.09992220
70,0.08927528,0.10051967
71,0.08927528,0.09878326
72,0.08927528,0.10254706
73,0.08927528,0.10095144
74,0.08902581,0.09798418
75,0.08902581,0.09883799
76,0.08902581,0.09684716
77,0.08902581,0.10062343
78,0.08902581,0.10063302
79,0.08902581,0.10124215
80,0.08902581,0.09800433
81,0.08902581,0.09925745
82,0.08855422,0.09904310
83,0.08779989,0.09851226
84,0.08779989,0.10090939
85,0.08779989,0.09737911
86,0.08779989,0.10168967
87,0.08779989,0.09840302
88,0.08779989,0.09847260
89,0.08779989,0.09765844
90,0.08749815,0.10143216
91,0.08749815,0.09762110
92,0.08749815,0.09876509
93,0.08729017,0.10004178
94,0.08729017,0.09852925
95,0.08729017,0.09596289
96,0.08729017,0.09859462
97,0.08729017,0.09826043
98,0.08584022,0.10068570
99,0.08584022,0.09807223
100,0.08584022,0.09791536
101,0.08584022,0.09774632
102,0.08584022,0.10015368
103,0.08584022,0.09717369
104,0.08584022,0.09545879
105,0.08584022,0.09590046
106,0.08584022,0.09308718
107,0.08584022,0.09912867
108,0.08536862,0.09568052
109,0.08536862,0.09614543
110,0.08536862,0.09424393
111,0.08536862,0.09719992
112,0.08536862,0.09938015
113,0.08536862,0.09976673
114,0.08536862,0.09319982
