generation,avg_best_fitness,avg_population_fitness
0,0.61953912,0.71241067
1,0.59065092,0.69706022
2,0.57069409,0.68219809
3,0.53129071,0.66567384
4,0.50629515,0.63676211
5,0.45647320,0.59998039
6,0.41063432,0.56193131
7,0.39868884,0.52040995
8,0.35211615,0.48202708
9,0.32739775,0.44487135
10,0.29256642,0.40758000
11,0.27003550,0.37231675
12,0.24290071,0.34038984
13,0.22236921,0.30883474
14,0.18352364,0.27859711
15,0.16541981,0.24936743
16,0.14694843,0.22139606
17,0.13954500,0.19815667
18,0.13373478,0.17935638
19,0.12769879,0.16248216
20,0.12439325,0.15013695
21,0.12261703,0.14084836
22,0.12207084,0.13439214
23,0.12195903,0.12975024
24,0.12195903,0.12627482
25,0.12195903,0.12406504
26,0.12164396,0.12305465
27,0.12164396,0.12245851
28,0.12164396,0.12216357
29,0.12164396,0.12204737
30,0.12164396,0.12201253
31,0.12164396,0.12209195
32,0.12164396,0.12185889
33,0.12164396,0.12168804
34,0.12164396,0.12164396
35,0.12164396,0.12164396
36,0.12164396,0.12164396
37,0.12164396,0.12164396
38,0.12164396,0.12164396
39,0.12164396,0.12164396
40,0.12164396,0.12164396
41,0.12164396,0.12164396
42,0.12164396,0.12164396
43,0.12164396,0.12164396
44,0.12164396,0.12164396
45,0.12164396,0.12164396
46,0.12164396,0.12164396
47,0.12164396,0.12164396
48,0.12164396,0.12164396
49,0.12164396,0.12164396
50,0.12164396,0.12164396
51,0.12164396,0.12164396
52,0.12164396,0.12164396
53,0.12164396,0.12164396
54,0.12164396,0.12164396
55,0.12164396,0.12164396
56,0.12164396,0.12164396
57,0.12164396,0.12164396
58,0.12164396,0.12164396
59,0.12164396,0.12164396
60,0.12164396,0.12164396
61,0.12164396,0.12164396
62,0.12164396,0.12164396
63,0.12164396,0.12164396
64,0.12164396,0.12164396
65,0.12164396,0.12164396
66,0.12164396,0.12164396
67,0.12164396,0.12164396
68,0.12164396,0.12164396
69,0.12164396,0.12164396
70,0.12164396,0.12164396
71,0.12164396,0.12164396
72,0.12164396,0.12164396
73,0.12164396,0.12164396
74,0.12164396,0.12164396
75,0.12164396,0.12164396
76,0.12164396,0.12164396
77,0.12164396,0.12164396
78,0.12164396,0.12164396
79,0.12164396,0.12164396
80,0.12164396,0.12164396
81,0.12164396,0.12164396
82,0.12164396,0.12164396
83,0.12164396,0.12164396
84,0.12164396,0.12164396
85,0.12164396,0.12164396
86,0.12164396,0.12164396
87,0.12164396,0.12164396
88,0.12164396,0.12164396
89,0.12164396,0.12164396
90,0.12164396,0.12164396
91,0.12164396,0.12164396
92,0.12164396,0.12164396
93,0.12164396,0.12164396
94,0.12164396,0.12164396
95,0.12164396,0.12164396
96,0.12164396,0.12164396
97,0.12164396,0.12164396
98,0.12164396,0.12164396
99,0.12164396,0.12164396
100,0.12164396,0.12164396
101,0.12164396,0.12164396
102,0.12164396,0.12164396
103,0.12164396,0.12164396
104,0.12164396,0.12164396
105,0.12164396,0.12164396
106,0.12164396,0.12164396
107,0.12164396,0.12164396
108,0.12164396,0.12164396
109,0.12164396,0.12164396
110,0.12164396,0.12164396
111,0.12164396,0.12164396
112,0.12164396,0.12164396
113,0.12164396,0.12164396
114,0.12164396,0.12164396
115,0.12164396,0.12164396
116,0.12164396,0.12164396
117,0.12164396,0.12164396
118,0.12164396,0.12164396
119,0.12164396,0.12164396
120,0.12164396,0.12164396
121,0.12164396,0.12164396
122,0.12164396,0.12164396
123,0.12164396,0.12164396
124,0.12164396,0.12164396
125,0.12164396,0.12164396
126,0.12164396,0.12164396
127,0.12164396,0.12164396
128,0.12164396,0.12164396
129,0.12164396,0.12164396
130,0.12164396,0.12164396
131,0.12164396,0.12164396
132,0.12164396,0.12164396
133,0.12164396,0.12164396
134,0.12164396,0.12164396
135,0.12164396,0.12164396
136,0.12164396,0.12164396
137,0.12164396,0.12164396
138,0.12164396,0.12164396
139,0.12164396,0.12164396
140,0.12164396,0.12164396
141,0.12164396,0.12164396
142,0.12164396,0.12164396
143,0.12164396,0.12164396
144,0.12164396,0.12164396
145,0.12164396,0.12164396
146,0.12164396,0.12164396
147,0.12164396,0.12164396
