generation,avg_best_fitness,avg_population_fitness
0,0.61911331,0.71364416
1,0.57647780,0.69951593
2,0.56498346,0.68775168
3,0.53751165,0.67497677
4,0.52076851,0.65530934
5,0.49319282,0.63336064
6,0.45449944,0.60988315
7,0.44571550,0.59023061
8,0.42485569,0.57250841
9,0.39741858,0.55247917
10,0.36951470,0.53668549
11,0.35936787,0.52025728
12,0.32960809,0.50220327
13,0.31316434,0.48418849
14,0.31040697,0.46783270
15,0.27964471,0.45528340
16,0.27301799,0.44654002
17,0.26411727,0.43888988
18,0.24304819,0.42698646
19,0.22598308,0.41431312
20,0.21975636,0.40405361
21,0.21218838,0.39998162
22,0.20859684,0.39519586
23,0.20255288,0.38268397
24,0.19093259,0.38685920
25,0.18965387,0.37767345
26,0.17405291,0.37360235
27,0.17405291,0.36941109
28,0.17405291,0.36312576
29,0.16950067,0.36001280
30,0.16118736,0.35556626
31,0.15822966,0.34533430
32,0.15822966,0.34512848
33,0.15822966,0.35099752
34,0.15465403,0.33778544
35,0.15465403,0.34280233
36,0.15287518,0.33032466
37,0.15287518,0.33357353
38,0.15287518,0.32771487
39,0.13400611,0.33014482
40,0.12699293,0.33137082
41,0.12699293,0.32427586
42,0.12699293,0.32591306
43,0.12479309,0.32471212
44,0.12479309,0.31994827
45,0.12404782,0.32236318
46,0.12404782,0.31810851
47,0.12357199,0.31442024
48,0.12114340,0.31418721
49,0.12114340,0.30618490
50,0.12066334,0.31101518
51,0.11883304,0.30617983
52,0.11836900,0.31056208
53,0.11836900,0.31025272
54,0.11696010,0.31257970
55,0.11377344,0.31006958
56,0.11120856,0.30525973
57,0.10595984,0.29546812
58,0.10595984,0.30364231
59,0.10595984,0.29529652
60,0.10595984,0.30310337
61,0.10595984,0.30358682
62,0.10595984,0.30467837
63,0.10211453,0.30794163
64,0.10211453,0.30487126
65,0.10211453,0.30088390
66,0.10211453,0.30352124
67,0.10211453,0.30006600
68,0.10211453,0.30836108
69,0.10211453,0.31403362
70,0.10211453,0.30882125
71,0.10211453,0.29700608
72,0.10211453,0.29706353
73,0.10211453,0.30727695
74,0.10211453,0.30626223
75,0.10211453,0.30116263
76,0.10211453,0.30051352
77,0.10211453,0.30337776
78,0.10211453,0.30175598
79,0.10083234,0.30643970
80,0.10083234,0.30617607
81,0.10083234,0.30858093
82,0.10026704,0.30922331
83,0.10026704,0.30409239
84,0.09940513,0.29999536
85,0.09940513,0.29792020
86,0.09882575,0.30002343
87,0.09882575,0.29918747
88,0.09882575,0.30412460
89,0.09882575,0.31648788
90,0.09882575,0.30773624
91,0.09882575,0.30031017
92,0.09882575,0.30014667
93,0.09882575,0.30093294
94,0.09882575,0.30166521
95,0.09882575,0.29951691
96,0.09882575,0.29689967
97,0.09882575,0.29841942
98,0.09882575,0.29149668
99,0.09882575,0.29679785
100,0.09882575,0.30140941
101,0.09882575,0.30484870
102,0.09882575,0.30513799
103,0.09882575,0.30068832
104,0.09882575,0.29734330
105,0.09643041,0.30237578
106,0.09643041,0.30219107
107,0.09643041,0.29455092
108,0.09403170,0.30285812
109,0.09403170,0.30307379
110,0.09403170,0.29784366
111,0.09403170,0.30293796
112,0.09403170,0.29854943
113,0.09403170,0.29733222
114,0.09403170,0.29728685
115,0.09403170,0.29437887
116,0.09403170,0.29870234
117,0.09403170,0.29408582
118,0.09403170,0.29397600
119,0.09403170,0.29514695
120,0.09403170,0.29758945
121,0.09403170,0.30000004
122,0.09403170,0.30074519
123,0.09403170,0.30015896
124,0.09328948,0.29631277
125,0.09328948,0.30321178
126,0.09328948,0.30403547
127,0.09328948,0.30109722
128,0.09328948,0.30462879
129,0.09328948,0.30799286
130,0.09328948,0.30058093
131,0.09328948,0.30001169
132,0.09328948,0.29713835
133,0.09328948,0.30271402
134,0.09328948,0.29133855
135,0.09328948,0.30008541
136,0.09328948,0.29686094
137,0.09328948,0.30069515
138,0.09328948,0.29147152
139,0.09328948,0.29998893
140,0.09328948,0.30673702
141,0.09328948,0.30482194
142,0.09328948,0.31134106
143,0.09328948,0.30509005
144,0.09328948,0.30111891
145,0.09328948,0.30587077
146,0.09328948,0.30887636
147,0.09328948,0.31132035
148,0.09328948,0.31019377
149,0.09328948,0.30409032
150,0.09328948,0.29585958
151,0.09328948,0.30043102
152,0.09328948,0.30316492
153,0.09328948,0.30511314
154,0.09328948,0.30256326
155,0.09328948,0.30689118
156,0.09328948,0.30094925
157,0.09328948,0.29982323
158,0.09328948,0.30201464
159,0.09328948,0.29768233
160,0.09328948,0.29971456
161,0.09328948,0.29256918
162,0.09328948,0.29309937
163,0.09328948,0.30038907
164,0.09328948,0.30261350
165,0.09328948,0.29915019
166,0.09224267,0.30431502
167,0.09224267,0.30479081
168,0.09224267,0.30080152
169,0.09224267,0.29997806
170,0.09224267,0.29551432
171,0.09224267,0.30664885
172,0.09224267,0.29986974
173,0.09224267,0.30047932
174,0.09224267,0.30476243
175,0.09224267,0.30310275
176,0.09224267,0.30773889
177,0.09224267,0.31053671
178,0.09224267,0.30571409
179,0.09224267,0.30967449
180,0.09224267,0.31588687
181,0.09224267,0.30389355
182,0.09224267,0.30233624
183,0.09224267,0.29884284
184,0.09224267,0.29784006
185,0.09224267,0.29950820
186,0.09224267,0.30447369
187,0.09224267,0.30780124
188,0.09224267,0.30430676
189,0.09224267,0.30956146
190,0.09224267,0.30849972
191,0.09224267,0.30191596
192,0.09224267,0.30188740
193,0.09224267,0.29970847
194,0.09224267,0.30113936
195,0.09224267,0.30311711
196,0.09224267,0.30423361
197,0.09224267,0.30439847
198,0.09224267,0.30124616
199,0.09224267,0.29693349
200,0.09224267,0.29914112
201,0.09224267,0.30111517
202,0.09224267,0.30041576
203,0.09224267,0.30952997
204,0.09224267,0.30009716
205,0.09224267,0.30208211
206,0.09224267,0.30577781
207,0.09224267,0.30508021
208,0.09224267,0.29944588
209,0.09224267,0.31044052
210,0.09224267,0.30834847
211,0.09224267,0.30516940
212,0.09224267,0.29646205
213,0.09224267,0.30066536
214,0.09224267,0.29791360
215,0.09224267,0.29946646
216,0.09224267,0.29508041
217,0.09224267,0.30405096
218,0.09224267,0.30495458
219,0.09224267,0.29906876
220,0.09224267,0.30260030
221,0.09224267,0.29530719
222,0.09224267,0.30506284
223,0.09224267,0.29657197
224,0.09224267,0.30032525
225,0.09224267,0.30229338
226,0.09224267,0.29922967
227,0.09224267,0.28958027
228,0.09224267,0.29743646
229,0.09224267,0.29678685
230,0.09224267,0.29148932
231,0.09224267,0.29299754
232,0.09224267,0.29393485
233,0.09224267,0.29537722
234,0.09224267,0.29840974
235,0.09224267,0.29711755
236,0.09224267,0.29905883
237,0.09224267,0.29316798
238,0.09224267,0.29563080
239,0.09224267,0.29846168
240,0.09224267,0.29826343
241,0.09224267,0.29977331
242,0.09224267,0.30359104
243,0.09224267,0.30359267
244,0.09224267,0.29906857
245,0.09224267,0.31086591
246,0.09224267,0.31146947
247,0.09224267,0.30700918
248,0.09224267,0.31516379
249,0.09224267,0.30202929
250,0.09224267,0.30034388
251,0.09224267,0.29703142
252,0.09224267,0.29946841
253,0.09224267,0.29795798
254,0.09224267,0.29782287
255,0.09224267,0.29440863
256,0.09224267,0.29942254
257,0.09224267,0.30421761
258,0.09224267,0.29076699
259,0.09224267,0.29557960
260,0.09224267,0.28851447
261,0.09224267,0.30140374
262,0.09224267,0.30402043
263,0.09224267,0.29658651
264,0.09224267,0.29365651
265,0.09224267,0.29634121
266,0.09224267,0.29544290
267,0.09224267,0.29331828
268,0.09224267,0.30305184
269,0.09224267,0.30287896
270,0.09224267,0.29659734
271,0.09224267,0.29802567
272,0.09224267,0.30042097
273,0.09182115,0.29285066
274,0.09182115,0.29349489
275,0.09182115,0.29118103
276,0.09182115,0.29632513
277,0.09182115,0.29824505
278,0.09182115,0.29579656
279,0.09182115,0.30728788
280,0.09182115,0.30327375
281,0.09182115,0.29451330
282,0.09182115,0.28903897
283,0.09182115,0.30130663
284,0.09182115,0.29388586
285,0.09182115,0.30111282
286,0.09182115,0.29969691
287,0.09182115,0.30188014
