generation,avg_best_fitness,avg_population_fitness
0,0.61746758,0.71210278
1,0.59436081,0.69729726
2,0.57206961,0.67998398
3,0.52671931,0.65833922
4,0.50965880,0.62624591
5,0.47899465,0.58782890
6,0.44290661,0.55219316
7,0.39323261,0.51891020
8,0.36058313,0.48443704
9,0.32932241,0.44686534
10,0.30010024,0.40873481
11,0.27254351,0.37180998
12,0.24282688,0.33965637
13,0.21972856,0.30774654
14,0.20199261,0.27816558
15,0.17916321,0.25119475
16,0.16485869,0.22675639
17,0.15257150,0.20460613
18,0.14496337,0.18680689
19,0.14319154,0.17179992
20,0.13974249,0.16042132
21,0.13867229,0.15238396
22,0.13721510,0.14675713
23,0.13683278,0.14335990
24,0.13683278,0.14129073
25,0.13683278,0.13968483
26,0.13683278,0.13849186
27,0.13683278,0.13782748
28,0.13683278,0.13703369
29,0.13683278,0.13684118
30,0.13683278,0.13683291
31,0.13683278,0.13683278
32,0.13683278,0.13683278
33,0.13683278,0.13683278
34,0.13683278,0.13683278
35,0.13683278,0.13683278
36,0.13683278,0.13683278
37,0.13683278,0.13683278
38,0.13683278,0.13683278
39,0.13683278,0.13683278
40,0.13683278,0.13683278
41,0.13683278,0.13683278
42,0.13683278,0.13683278
43,0.13683278,0.13683278
44,0.13683278,0.13683278
45,0.13683278,0.13683278
46,0.13683278,0.13683278
47,0.13683278,0.13683278
48,0.13683278,0.13683278
49,0.13683278,0.13683278
50,0.13683278,0.13683278
51,0.13683278,0.13683278
52,0.13683278,0.13683278
53,0.13683278,0.13683278
54,0.13683278,0.13683278
55,0.13683278,0.13683278
56,0.13683278,0.13683278
57,0.13683278,0.13683278
58,0.13683278,0.13683278
59,0.13683278,0.13683278
60,0.13683278,0.13683278
61,0.13683278,0.13683278
62,0.13683278,0.13683278
63,0.13683278,0.13683278
64,0.13683278,0.13683278
65,0.13683278,0.13683278
66,0.13683278,0.13683278
67,0.13683278,0.13683278
68,0.13683278,0.13683278
69,0.13683278,0.13683278
70,0.13683278,0.13683278
71,0.13683278,0.13683278
72,0.13683278,0.13683278
73,0.13683278,0.13683278
74,0.13683278,0.13683278
75,0.13683278,0.13683278
76,0.13683278,0.13683278
77,0.13683278,0.13683278
78,0.13683278,0.13683278
79,0.13683278,0.13683278
80,0.13683278,0.13683278
81,0.13683278,0.13683278
82,0.13683278,0.13683278
83,0.13683278,0.13683278
84,0.13683278,0.13683278
85,0.13683278,0.13683278
86,0.13683278,0.13683278
87,0.13683278,0.13683278
88,0.13683278,0.13683278
89,0.13683278,0.13683278
90,0.13683278,0.13683278
91,0.13683278,0.13683278
92,0.13683278,0.13683278
93,0.13683278,0.13683278
94,0.13683278,0.13683278
95,0.13683278,0.13683278
96,0.13683278,0.13683278
97,0.13683278,0.13683278
98,0.13683278,0.13683278
99,0.13683278,0.13683278
100,0.13683278,0.13683278
101,0.13683278,0.13683278
102,0.13683278,0.13683278
103,0.13683278,0.13683278
104,0.13683278,0.13683278
105,0.13683278,0.13683278
106,0.13683278,0.13683278
107,0.13683278,0.13683278
108,0.13683278,0.13683278
109,0.13683278,0.13683278
110,0.13683278,0.13683278
111,0.13683278,0.13683278
112,0.13683278,0.13683278
113,0.13683278,0.13683278
114,0.13683278,0.13683278
115,0.13683278,0.13683278
116,0.13683278,0.13683278
117,0.13683278,0.13683278
118,0.13683278,0.13683278
119,0.13683278,0.13683278
120,0.13683278,0.13683278
121,0.13683278,0.13683278
122,0.13683278,0.13683278
123,0.13683278,0.13683278
124,0.13683278,0.13683278
125,0.13683278,0.13683278
126,0.13683278,0.13683278
127,0.13683278,0.13683278
128,0.13683278,0.13683278
129,0.13683278,0.13683278
130,0.13683278,0.13683278
131,0.13683278,0.13683278
132,0.13683278,0.13683278
133,0.13683278,0.13683278
134,0.13683278,0.13683278
135,0.13683278,0.13683278
136,0.13683278,0.13683278
137,0.13683278,0.13683278
138,0.13683278,0.13683278
139,0.13683278,0.13683278
140,0.13683278,0.13683278
141,0.13683278,0.13683278
142,0.13683278,0.13683278
143,0.13683278,0.13683278
144,0.13683278,0.13683278
145,0.13683278,0.13683278
146,0.13683278,0.13683278
147,0.13683278,0.13683278
148,0.13683278,0.13683278
149,0.13683278,0.13683278
150,0.13683278,0.13683278
151,0.13683278,0.13683278
152,0.13683278,0.13683278
153,0.13683278,0.13683278
154,0.13683278,0.13683278
155,0.13683278,0.13683278
156,0.13683278,0.13683278
157,0.13683278,0.13683278
158,0.13683278,0.13683278
159,0.13683278,0.13683278
160,0.13683278,0.13683278
161,0.13683278,0.13683278
162,0.13683278,0.13683278
163,0.13683278,0.13683278
164,0.13683278,0.13683278
165,0.13683278,0.13683278
166,0.13683278,0.13683278
167,0.13683278,0.13683278
168,0.13683278,0.13683278
169,0.13683278,0.13683278
170,0.13683278,0.13683278
171,0.13683278,0.13683278
172,0.13683278,0.13683278
173,0.13683278,0.13683278
174,0.13683278,0.13683278
175,0.13683278,0.13683278
176,0.13683278,0.13683278
177,0.13683278,0.13683278
178,0.13683278,0.13683278
179,0.13683278,0.13683278
180,0.13683278,0.13683278
181,0.13683278,0.13683278
182,0.13683278,0.13683278
183,0.13683278,0.13683278
184,0.13683278,0.13683278
185,0.13683278,0.13683278
186,0.13683278,0.13683278
187,0.13683278,0.13683278
188,0.13683278,0.13683278
189,0.13683278,0.13683278
190,0.13683278,0.13683278
191,0.13683278,0.13683278
192,0.13683278,0.13683278
193,0.13683278,0.13683278
194,0.13683278,0.13683278
195,0.13683278,0.13683278
196,0.13683278,0.13683278
197,0.13683278,0.13683278
198,0.13683278,0.13683278
199,0.13683278,0.13683278
200,0.13683278,0.13683278
201,0.13683278,0.13683278
202,0.13683278,0.13683278
203,0.13683278,0.13683278
204,0.13683278,0.13683278
205,0.13683278,0.13683278
206,0.13683278,0.13683278
207,0.13683278,0.13683278
208,0.13683278,0.13683278
209,0.13683278,0.13683278
210,0.13683278,0.13683278
211,0.13683278,0.13683278
212,0.13683278,0.13683278
213,0.13683278,0.13683278
214,0.13683278,0.13683278
215,0.13683278,0.13683278
216,0.13683278,0.13683278
217,0.13683278,0.13683278
218,0.13683278,0.13683278
219,0.13683278,0.13683278
220,0.13683278,0.13683278
221,0.13683278,0.13683278
222,0.13683278,0.13683278
223,0.13683278,0.13683278
224,0.13683278,0.13683278
225,0.13683278,0.13683278
226,0.13683278,0.13683278
227,0.13683278,0.13683278
228,0.13683278,0.13683278
229,0.13683278,0.13683278
230,0.13683278,0.13683278
231,0.13683278,0.13683278
232,0.13683278,0.13683278
233,0.13683278,0.13683278
234,0.13683278,0.13683278
235,0.13683278,0.13683278
236,0.13683278,0.13683278
237,0.13683278,0.13683278
238,0.13683278,0.13683278
239,0.13683278,0.13683278
240,0.13683278,0.13683278
241,0.13683278,0.13683278
242,0.13683278,0.13683278
243,0.13683278,0.13683278
244,0.13683278,0.13683278
245,0.13683278,0.13683278
246,0.13683278,0.13683278
247,0.13683278,0.13683278
248,0.13683278,0.13683278
249,0.13683278,0.13683278
250,0.13683278,0.13683278
251,0.13683278,0.13683278
252,0.13683278,0.13683278
253,0.13683278,0.13683278
254,0.13683278,0.13683278
255,0.13683278,0.13683278
256,0.13683278,0.13683278
257,0.13683278,0.13683278
258,0.13683278,0.13683278
259,0.13683278,0.13683278
260,0.13683278,0.13683278
261,0.13683278,0.13683278
262,0.13683278,0.13683278
