generation,avg_best_fitness,avg_population_fitness
0,0.62415770,0.71269513
1,0.59333756,0.69807840
2,0.57275197,0.68257923
3,0.54512359,0.66320769
4,0.50484262,0.63665089
5,0.48075663,0.60306854
6,0.44463427,0.56772458
7,0.38888600,0.53103245
8,0.37321687,0.49618557
9,0.34242431,0.46253570
10,0.30727207,0.43056802
11,0.28709938,0.39557525
12,0.25551914,0.36644049
13,0.22873194,0.33392682
14,0.21671598,0.30721695
15,0.18560155,0.28116396
16,0.16791759,0.25572459
17,0.16019041,0.23398492
18,0.14136910,0.21445139
19,0.12561745,0.19552844
20,0.12164766,0.18142212
21,0.11819920,0.16853523
22,0.11661232,0.15441812
23,0.11296809,0.14766977
24,0.11151058,0.14145206
25,0.10969906,0.13760026
26,0.10935813,0.12555637
27,0.10645039,0.12627394
28,0.10431111,0.12161574
29,0.10230801,0.12317290
30,0.10230801,0.11989110
31,0.10109987,0.11914498
32,0.10109987,0.11441679
33,0.09846704,0.11570885
34,0.09807561,0.11300529
35,0.09807561,0.11293426
36,0.09694613,0.11145703
37,0.09588803,0.10936791
38,0.09588803,0.11176820
39,0.09588803,0.10960675
40,0.09588803,0.10877753
41,0.09479737,0.10753023
42,0.09469109,0.10439064
43,0.09469109,0.10481918
44,0.09140760,0.10520242
45,0.09140760,0.10581688
46,0.09140760,0.10584661
47,0.09140760,0.10315533
48,0.09140760,0.10254730
49,0.09140760,0.10221372
50,0.09140760,0.10451294
51,0.08927352,0.10001200
52,0.08925553,0.10314332
53,0.08925553,0.10445186
54,0.08889756,0.09956186
55,0.08880145,0.10101778
56,0.08880145,0.10162300
57,0.08880145,0.10148085
58,0.08880145,0.10158809
59,0.08880145,0.10098394
60,0.08880145,0.09854025
61,0.08872980,0.09964760
62,0.08872980,0.10115710
63,0.08872980,0.10159510
64,0.08872980,0.09816368
65,0.08776240,0.09783739
66,0.08776240,0.10045108
67,0.08776240,0.09867674
68,0.08776240,0.10182849
69,0.08776240,0.10153270
70,0.08776240,0.10259896
71,0.08669140,0.09682713
72,0.08669140,0.09551648
73,0.08669140,0.09880255
74,0.08669140,0.09729716
75,0.08669140,0.10074650
76,0.08669140,0.09741193
77,0.08669140,0.09672378
78,0.08669140,0.10030456
79,0.08669140,0.09588056
80,0.08669140,0.09634766
81,0.08669140,0.09754819
82,0.08669140,0.09561828
83,0.08669140,0.09488306
84,0.08669140,0.09646418
85,0.08669140,0.10012761
86,0.08669140,0.09444109
87,0.08669140,0.10202254
88,0.08669140,0.09537763
89,0.08669140,0.09685649
90,0.08669140,0.09903853
91,0.08669140,0.09737274
92,0.08669140,0.09807235
93,0.08669140,0.09644695
94,0.08669140,0.09676524
95,0.08669140,0.09640368
96,0.08669140,0.09982480
97,0.08669140,0.09601056
98,0.08669140,0.09798238
99,0.08669140,0.09784860
100,0.08625140,0.09697069
101,0.08625140,0.09863281
102,0.08625140,0.09671648
103,0.08625140,0.09671757
104,0.08625140,0.09657260
105,0.08625140,0.09729824
106,0.08625140,0.09314595
107,0.08625140,0.09658836
108,0.08625140,0.09735750
109,0.08625140,0.09467393
110,0.08625140,0.09713057
111,0.08625140,0.09381832
112,0.08625140,0.09783402
113,0.08625140,0.09515658
114,0.08625140,0.09581158
115,0.08625140,0.09939431
116,0.08625140,0.09553825
117,0.08625140,0.09632999
118,0.08625140,0.09659000
119,0.08625140,0.09900280
120,0.08625140,0.09782404
121,0.08625140,0.09824618
122,0.08625140,0.09681324
123,0.08625140,0.09676720
124,0.08625140,0.09658492
125,0.08625140,0.09899521
126,0.08625140,0.09781766
127,0.08625140,0.09507359
128,0.08625140,0.09567702
129,0.08625140,0.09464518
130,0.08625140,0.09592276
131,0.08625140,0.09477716
132,0.08625140,0.09655196
133,0.08625140,0.09594950
134,0.08599903,0.09480927
135,0.08599903,0.09537362
136,0.08590356,0.09440436
137,0.08590356,0.09894099
138,0.08590356,0.09921125
139,0.08590356,0.09790489
140,0.08590356,0.09331831
141,0.08590356,0.09731483
142,0.08590356,0.09812154
143,0.08590356,0.09474550
144,0.08590356,0.09550187
145,0.08590356,0.09524470
146,0.08590356,0.09756886
147,0.08590356,0.09787566
148,0.08590356,0.09720189
149,0.08590356,0.09501686
150,0.08590356,0.09818177
151,0.08590356,0.09578323
152,0.08590356,0.09631959
153,0.08590356,0.09803054
154,0.08590356,0.09409965
155,0.08590356,0.09528400
156,0.08590356,0.09760186
157,0.08590356,0.09696460
158,0.08590356,0.09395697
159,0.08590356,0.09351271
160,0.08590356,0.09617890
161,0.08590356,0.09641866
162,0.08590356,0.09550483
163,0.08590356,0.09824357
164,0.08590356,0.09346904
165,0.08590356,0.09653673
166,0.08590356,0.09735139
167,0.08590356,0.09939761
168,0.08590356,0.09767930
169,0.08590356,0.09649161
170,0.08590356,0.09488340
171,0.08590356,0.09674097
172,0.08590356,0.09583464
173,0.08590356,0.09671489
174,0.08590356,0.09641977
175,0.08590356,0.09862030
176,0.08590356,0.09717273
177,0.08590356,0.09483595
178,0.08590356,0.09690263
179,0.08590356,0.09662879
180,0.08590356,0.09685064
181,0.08590356,0.09941728
182,0.08590356,0.09506422
183,0.08590356,0.09540079
184,0.08590356,0.09664037
185,0.08590356,0.09762262
186,0.08590356,0.09660062
187,0.08590356,0.09677370
188,0.08590356,0.09404450
189,0.08590356,0.09515954
190,0.08590356,0.09819465
191,0.08590356,0.09608074
192,0.08590356,0.09683332
193,0.08590356,0.09626981
194,0.08590356,0.09559382
195,0.08590356,0.09718631
196,0.08590356,0.09602375
197,0.08590356,0.09517345
198,0.08590356,0.09597371
199,0.08590356,0.09763885
200,0.08590356,0.09484028
201,0.08590356,0.09616155
202,0.08590356,0.09542173
203,0.08590356,0.09677393
204,0.08590356,0.09660212
205,0.08590356,0.09772300
206,0.08590356,0.09771611
207,0.08590356,0.09926623
208,0.08590356,0.09954003
209,0.08590356,0.09448671
210,0.08590356,0.09303611
211,0.08590356,0.09849473
212,0.08590356,0.09596257
213,0.08590356,0.09603232
214,0.08590356,0.09513879
215,0.08590356,0.09443475
216,0.08590356,0.09661381
217,0.08590356,0.09702414
218,0.08590356,0.09265387
219,0.08590356,0.09744817
220,0.08590356,0.09784209
221,0.08590356,0.09562252
222,0.08590356,0.09647392
223,0.08590356,0.09729353
224,0.08590356,0.09414047
225,0.08590356,0.09481970
226,0.08590356,0.10004183
227,0.08590356,0.09701257
228,0.08590356,0.09805145
229,0.08590356,0.09511874
230,0.08590356,0.09589313
231,0.08590356,0.10019412
232,0.08590356,0.09568539
233,0.08590356,0.09649489
234,0.08590356,0.09813819
235,0.08590356,0.09854111
236,0.08590356,0.09565050
237,0.08590356,0.10026742
238,0.08590356,0.09815490
239,0.08590356,0.09454393
240,0.08590356,0.09798202
241,0.08590356,0.09555975
242,0.08590356,0.09701528
243,0.08590356,0.09784060
244,0.08590356,0.09728421
245,0.08590356,0.09782910
246,0.08590356,0.09988385
247,0.08590356,0.09932365
248,0.08590356,0.09354652
249,0.08590356,0.09463445
250,0.08590356,0.09947262
251,0.08590356,0.09763337
252,0.08590356,0.09538724
253,0.08590356,0.09681254
254,0.08590356,0.09796162
255,0.08590356,0.09740057
256,0.08590356,0.09546765
257,0.08590356,0.09854674
258,0.08590356,0.09906238
259,0.08590356,0.09317905
260,0.08590356,0.09610868
261,0.08590356,0.09904719
262,0.08590356,0.09706910
263,0.08590356,0.09739900
264,0.08590356,0.09538008
265,0.08590356,0.10097137
266,0.08590356,0.09506188
267,0.08590356,0.09735686
268,0.08590356,0.09737252
269,0.08590356,0.09653884
270,0.08590356,0.09733475
271,0.08590356,0.09477842
272,0.08590356,0.09835430
273,0.08590356,0.09620004
274,0.08590356,0.09970394
275,0.08590356,0.09793413
276,0.08590356,0.09715792
277,0.08590356,0.09605952
278,0.08590356,0.09541275
279,0.08590356,0.09343674
280,0.08590356,0.09466981
281,0.08590356,0.09777911
282,0.08590356,0.09617626
283,0.08590356,0.09805607
284,0.08590356,0.09399521
285,0.08590356,0.09800447
286,0.08590356,0.09946131
287,0.08590356,0.09737045
288,0.08590356,0.09595343
289,0.08590356,0.09594721
290,0.08590356,0.09754974
291,0.08590356,0.09837745
292,0.08590356,0.09975162
293,0.08590356,0.09556442
294,0.08590356,0.09384307
295,0.08590356,0.09458236
296,0.08590356,0.09619898
297,0.08590356,0.09807723
298,0.08590356,0.09616595
299,0.08590356,0.09340343
300,0.08590356,0.09581072
301,0.08590356,0.09650076
302,0.08590356,0.09604844
303,0.08590356,0.09381904
304,0.08590356,0.09625588
305,0.08590356,0.09623630
306,0.08590356,0.09562546
307,0.08590356,0.09564735
308,0.08590356,0.09548107
309,0.08590356,0.09801795
310,0.08590356,0.09740353
311,0.08590356,0.09502842
312,0.08590356,0.09433406
313,0.08590356,0.09912480
314,0.08590356,0.09477361
315,0.08590356,0.09890307
316,0.08590356,0.09373286
317,0.08590356,0.09735796
318,0.08590356,0.09276503
319,0.08590356,0.09474759
320,0.08590356,0.09742613
321,0.08590356,0.09815031
322,0.08590356,0.09762250
323,0.08590356,0.09771549
324,0.08590356,0.09502967
325,0.08590356,0.09830618
326,0.08590356,0.09592274
327,0.08590356,0.09623843
328,0.08590356,0.09864867
329,0.08590356,0.09433249
330,0.08590356,0.09639264
331,0.08590356,0.09641060
332,0.08590356,0.09884097
333,0.08590356,0.09527037
334,0.08590356,0.09747736
335,0.08590356,0.09809615
336,0.08590356,0.09649284
337,0.08590356,0.09718938
338,0.08590356,0.09607264
339,0.08590356,0.09532842
340,0.08590356,0.09841961
341,0.08590356,0.09536758
342,0.08590356,0.09561655
343,0.08590356,0.09529668
344,0.08590356,0.09701806
345,0.08590356,0.09619011
346,0.08590356,0.09872884
347,0.08590356,0.09514737
348,0.08590356,0.09607874
349,0.08590356,0.09625421
350,0.08590356,0.09593092
351,0.08590356,0.09681076
352,0.08590356,0.09652887
353,0.08590356,0.09900602
354,0.08590356,0.09916109
355,0.08590356,0.09460857
356,0.08590356,0.09702496
357,0.08590356,0.09629616
358,0.08590356,0.09525747
359,0.08590356,0.09780757
360,0.08590356,0.09608263
361,0.08590356,0.09822507
362,0.08590356,0.09692857
363,0.08590356,0.09743722
364,0.08590356,0.09628666
365,0.08590356,0.09664332
366,0.08590356,0.09855936
367,0.08590356,0.09543072
368,0.08590356,0.09695431
369,0.08590356,0.09623195
370,0.08590356,0.09557652
371,0.08590356,0.09642910
372,0.08590356,0.09668755
373,0.08590356,0.09880790
374,0.08590356,0.09474350
375,0.08590356,0.09457462
376,0.08590356,0.09735500
377,0.08590356,0.09885352
378,0.08590356,0.09856599
379,0.08590356,0.09500153
380,0.08590356,0.09288890
381,0.08590356,0.09705189
382,0.08590356,0.09312314
383,0.08590356,0.09808114
384,0.08590356,0.09756054
385,0.08590356,0.09948091
386,0.08590356,0.09650443
387,0.08590356,0.09572599
388,0.08590356,0.09944230
389,0.08590356,0.09486834
390,0.08590356,0.09575145
391,0.08590356,0.09903674
392,0.08590356,0.09863596
393,0.08590356,0.09803162
394,0.08590356,0.09500654
395,0.08590356,0.09308428
