generation,avg_best_fitness,avg_population_fitness
0,0.65764441,0.71180923
1,0.64922063,0.70294253
2,0.63838837,0.69757819
3,0.63394317,0.69269246
4,0.62531685,0.68943503
5,0.62093836,0.68316267
6,0.61402023,0.67740603
7,0.61322280,0.67393197
8,0.60514436,0.66837397
9,0.60207427,0.66324254
10,0.59429827,0.65903516
11,0.58987783,0.65367099
12,0.58969209,0.64970205
13,0.58872147,0.64476756
14,0.58468961,0.64241277
15,0.57986170,0.63900649
16,0.57733796,0.63691825
17,0.57623072,0.63433416
18,0.57166482,0.63246701
19,0.56710926,0.63003771
20,0.56549821,0.62761750
21,0.56203158,0.62557179
22,0.56142745,0.62301043
23,0.55970393,0.62179244
24,0.55855612,0.62095090
25,0.55855612,0.62059161
26,0.55712603,0.61602437
27,0.55552741,0.61567082
28,0.55033221,0.61554099
29,0.55003541,0.61385002
30,0.54890173,0.61125205
31,0.54664456,0.61373207
32,0.54647700,0.61013167
33,0.54577931,0.60879980
34,0.54311710,0.60779777
35,0.54107452,0.60517144
36,0.54107452,0.60283940
37,0.54057280,0.60488570
38,0.53823719,0.60407645
39,0.53684545,0.60425121
40,0.53222736,0.60423991
41,0.53222736,0.60174397
42,0.53219128,0.60067965
43,0.53136572,0.59979002
44,0.53136572,0.59811595
45,0.53039471,0.59905275
46,0.52822764,0.59576533
47,0.52780465,0.59637188
48,0.52622213,0.59574882
49,0.52622213,0.59531517
50,0.52622213,0.59593592
51,0.52329918,0.59205662
52,0.52242035,0.59345655
53,0.52242035,0.59212803
54,0.52157062,0.59105192
55,0.52084159,0.59317178
56,0.52084159,0.59357459
57,0.51948915,0.59267354
58,0.51948915,0.59341442
59,0.51948915,0.59437507
60,0.51948915,0.59185336
61,0.51948915,0.59179651
62,0.51777359,0.59140229
63,0.51777359,0.59105065
64,0.51777359,0.59048886
65,0.51777359,0.59154085
66,0.51740768,0.59176587
67,0.51740768,0.59324276
68,0.51740768,0.59154139
69,0.51737536,0.59164946
70,0.51737536,0.58978201
